Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
03/07/2025,23.2,73.1,34.5,79.5,Panicle Initiation,Urea,18.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.6,2232
05/10/2025,22.9,66.8,31.6,65.9,Flowering,Zinc Sulphate,8.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.64,2580
05/06/2025,33.6,71.3,34.5,83.1,Panicle Initiation,Urea,22.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,11.11,2688
03/09/2025,25.4,53.1,29.4,75.5,Seedling,Calcium Nitrate,17,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.79,3400
27/01/2025,31.6,69.9,31.9,65.9,Seedling,Magnesium Sulphate,17.1,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,10.51,3078
18/12/2025,23.2,31.9,29,86.2,Seedling,Calcium Nitrate,17.2,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,8.72,3440
29/06/2025,31.5,43,32.4,89.5,Flowering,Boron,4.6,Micronutrient for flower formation,Maintain irrigation schedule to avoid fertilizer runoff.,9.51,2300
14/06/2025,32.2,39.2,30.7,83.2,Harvest,Phosphate Rock,20.6,Slow-release phosphorus,Ensure soil testing before application.,9.76,1854
31/03/2025,23.7,39.9,31.1,84.5,Panicle Initiation,Potash,20.2,Potassium for stress tolerance,Prefer organic alternatives where possible.,9.49,3232
27/02/2025,25.4,40.7,28.5,84.3,Panicle Initiation,Humic Acid,13.9,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.38,3058
22/02/2025,31.8,43.6,32.1,65,Seedling,DAP,20.1,Phosphorus for root development,Ensure soil testing before application.,9.4,3015
22/04/2025,32.3,62.4,30,90.6,Flowering,Boron,5.7,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.44,2850
16/03/2025,27.8,36.6,26.6,62.9,Seedling,Magnesium Sulphate,15,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,8.53,2700
28/12/2025,27.8,50.6,29.7,80.8,Flowering,Iron Chelate,8.5,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.7,3825
20/06/2025,32.5,73.8,31.7,86.7,Harvest,Green Manure,21.6,Nitrogen enrichment from legumes,Ensure soil testing before application.,11.24,648
23/05/2025,28.3,34.4,29.6,79.9,Harvest,Green Manure,22.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.11,687
13/10/2025,33.9,56.2,34.9,65.1,Flowering,MOP,27.8,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.18,3614
06/12/2025,33.6,43.8,27.2,60.9,Seedling,Urea,21.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.28,2592
10/02/2025,27.6,31.7,30.3,80.3,Seedling,Urea,27.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.23,3252
24/09/2025,30.6,56.1,29.6,80.1,Flowering,Boron,4.8,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.83,2400
19/11/2025,26,39.8,34,80.6,Seedling,Ammonium Sulphate,24.1,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.36,3374
21/11/2025,24.7,57.2,31.6,81,Seedling,DAP,17.7,Phosphorus for root development,Prefer organic alternatives where possible.,10.1,2655
13/04/2025,27.8,32.2,30.1,85,Flowering,Iron Chelate,9.1,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,8.81,4095
28/09/2025,23.1,52.8,29.4,76.2,Tillering,MOP,18.7,Potassium for stem and disease resistance,Ensure soil testing before application.,9.51,2431
07/10/2025,28.7,31.1,35.5,84.8,Panicle Initiation,DAP,25.6,Phosphorus for root development,Use split application to reduce leaching.,9.49,3840
02/12/2025,29,73.4,34.7,72.1,Panicle Initiation,Potash,19.8,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.79,3168
03/03/2025,32.6,37.3,34.7,69.6,Panicle Initiation,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,9.46,3270
01/08/2025,31.1,28.6,35.5,79.2,Tillering,Organic Compost,30.4,Improves soil structure and moisture retention,Ensure soil testing before application.,9.44,1520
14/08/2025,31.1,51.3,28.4,80.8,Panicle Initiation,Seaweed Extract,10.3,Growth stimulant and micronutrients,Ensure soil testing before application.,9.7,2575
22/04/2025,32.1,30.5,32.7,76.5,Seedling,Urea,26.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.21,3180
18/11/2025,27.7,34,34.9,91.4,Panicle Initiation,DAP,25.6,Phosphorus for root development,Prefer organic alternatives where possible.,9.76,3840
15/11/2025,27,60.8,27,63.9,Panicle Initiation,DAP,21.7,Phosphorus for root development,Prefer organic alternatives where possible.,9.94,3255
29/08/2025,25.6,41.1,34.4,72.7,Tillering,Biochar,23.6,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.36,2360
24/04/2025,33.6,29.4,29.8,88.2,Harvest,Phosphate Rock,20.4,Slow-release phosphorus,Ensure soil testing before application.,9.23,1836
29/01/2025,33.7,73.9,34.4,73.3,Panicle Initiation,Humic Acid,14.8,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.86,3256
12/11/2025,23,72,26.8,80.8,Harvest,Green Manure,19.3,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.28,579
27/07/2025,33.4,44.3,33,82.3,Flowering,Iron Chelate,9.2,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.91,4140
18/11/2025,23.5,28.3,27.9,62.5,Tillering,Urea,33.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,8.73,3972
26/11/2025,31.7,35.2,35.7,83.5,Flowering,Iron Chelate,9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.48,4050
22/05/2025,27.4,53.3,30.3,68.4,Flowering,MOP,26.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.76,3406
09/11/2025,31.1,39,33.4,85.1,Seedling,DAP,19.7,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.79,2955
18/09/2025,33.2,31.2,32.1,86,Tillering,MOP,18.4,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.4,2392
07/08/2025,26.1,67.5,32.9,64.4,Tillering,Compost Tea,20.7,Enhances microbial activity,Ensure soil testing before application.,10.14,1656
13/10/2025,22.2,41,33.8,74.2,Tillering,Organic Compost,28.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.32,1410
01/10/2025,23.9,47,30.8,80.5,Seedling,DAP,17.1,Phosphorus for root development,Prefer organic alternatives where possible.,9.36,2565
02/11/2025,32.8,49.6,35.8,93.3,Tillering,Organic Compost,31.7,Improves soil structure and moisture retention,Ensure soil testing before application.,10.51,1585
11/04/2025,30,33.7,33.4,61.3,Panicle Initiation,Potash,21.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.97,3376
02/08/2025,31,37.8,26.3,76.1,Tillering,Biochar,28,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.24,2800
26/10/2025,27.5,51.8,31.3,74.2,Seedling,Ammonium Sulphate,20.5,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,9.86,2870
13/08/2025,28.6,62.2,31.2,68,Seedling,Calcium Nitrate,19.9,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,9.99,3980
16/02/2025,25.6,43,29.2,69,Panicle Initiation,Urea,18.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.1,2256
24/10/2025,25.9,55.8,34.4,79.2,Flowering,MOP,23.2,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.99,3016
15/02/2025,33.9,61.3,32,88.4,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Ensure soil testing before application.,10.66,2926
02/08/2025,24.1,57.9,29.4,73.8,Panicle Initiation,Urea,20.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.89,2412
25/07/2025,26,40.3,30,94.1,Tillering,Organic Compost,34.3,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.89,1715
24/06/2025,32.5,36.4,31.3,63.8,Tillering,Biochar,24.3,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.4,2430
21/02/2025,24.7,28.7,31.6,70.7,Panicle Initiation,Humic Acid,13.8,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.36,3036
11/07/2025,32.5,51.9,28.7,67.8,Panicle Initiation,Seaweed Extract,9.2,Growth stimulant and micronutrients,Use split application to reduce leaching.,9.43,2300
24/09/2025,31.1,39.2,33.7,86.8,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.48,2754
29/05/2025,23.6,38.1,33.9,62.3,Tillering,Compost Tea,17.2,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,8.91,1376
30/08/2025,27.1,45.1,26.2,65.8,Panicle Initiation,Humic Acid,14.1,Soil conditioner and nutrient uptake,Ensure soil testing before application.,8.85,3102
27/02/2025,30.6,68.5,30.8,68.6,Tillering,Biochar,28.1,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,10.72,2810
30/07/2025,25.1,25.7,31.8,87.2,Panicle Initiation,Potash,19,Potassium for stress tolerance,Prefer organic alternatives where possible.,9.02,3040
25/08/2025,29.5,41.3,31.1,87.4,Tillering,Compost Tea,18.7,Enhances microbial activity,Ensure soil testing before application.,9.79,1496
29/12/2025,27.5,29.8,27.2,88.3,Seedling,DAP,20.8,Phosphorus for root development,Prefer organic alternatives where possible.,8.91,3120
28/10/2025,31.3,30.8,33.4,68.7,Panicle Initiation,Urea,19,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,8.99,2280
20/04/2025,27.1,72.7,28.1,70.2,Seedling,DAP,20.8,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.56,3120
16/08/2025,26.3,71.3,26.5,79.2,Panicle Initiation,Humic Acid,16.7,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,10.34,3674
24/03/2025,25.5,40.8,35.6,78.1,Panicle Initiation,Urea,19.9,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.44,2388
20/01/2025,31.9,67.2,34.6,77.6,Seedling,Urea,28,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,11.06,3360
18/05/2025,26.4,62.1,28.3,93.9,Tillering,Organic Compost,34.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.6,1715
20/04/2025,24.8,68.6,34.2,62.4,Panicle Initiation,Urea,21.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.31,2616
09/09/2025,22.2,65.7,33,84.1,Seedling,Urea,23.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.53,2796
13/12/2025,27.1,73.2,31.7,75.5,Tillering,MOP,20.6,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.62,2678
11/10/2025,29.6,44.6,26.1,69.5,Panicle Initiation,Seaweed Extract,9.8,Growth stimulant and micronutrients,Use split application to reduce leaching.,9.14,2450
04/11/2025,26.5,60,28.4,64.4,Harvest,Organic Compost,14.6,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.57,730
20/06/2025,25.8,65.5,34.6,88.4,Harvest,Green Manure,20.5,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.53,615
24/02/2025,24.8,46.8,33.8,86,Flowering,Zinc Sulphate,10.4,Improves grain quality and resistance,Use split application to reduce leaching.,9.74,3120
25/09/2025,29.5,58.3,35.5,67,Flowering,Iron Chelate,8.1,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.89,3645
04/03/2025,28.6,67.4,26.7,90.8,Tillering,Biochar,25.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.91,2510
01/04/2025,26.4,25,31.6,89.3,Tillering,Organic Compost,33.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.2,1680
25/02/2025,28.1,28.9,31.9,84.1,Harvest,Green Manure,21.2,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.19,636
06/12/2025,32.9,70.9,29.4,81.9,Harvest,Organic Compost,14.7,Improves soil structure and moisture retention,Ensure soil testing before application.,10.93,735
12/11/2025,30.3,33.8,34.7,63.9,Tillering,Urea,37.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.25,4488
13/10/2025,30.7,34,26.7,83.9,Seedling,Magnesium Sulphate,17,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.32,3060
23/03/2025,22.7,60.2,28.4,76.8,Tillering,MOP,22.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2951
12/03/2025,24.1,28.5,35.6,87.2,Seedling,Urea,22.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.21,2736
16/12/2025,31.8,61.4,34.1,67.5,Seedling,Urea,23.3,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.56,2796
09/06/2025,32.4,65.7,30.3,94.5,Flowering,Iron Chelate,8.2,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.53,3690
18/07/2025,32.9,52.3,33.5,70.5,Tillering,Urea,31.5,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.31,3780
07/12/2025,31.7,33.2,26.1,92.2,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.68,1430
24/09/2025,28.8,62.9,34.7,64.3,Seedling,Magnesium Sulphate,14.2,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,10.11,2556
02/03/2025,28.6,37.1,30.9,91.5,Flowering,Copper Sulphate,7.7,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.14,3080
01/12/2025,24.5,31.2,26.4,93,Tillering,Compost Tea,21.4,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.22,1712
05/11/2025,30,50.2,28.2,63.8,Panicle Initiation,Seaweed Extract,8.7,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.38,2175
01/06/2025,25.7,31.1,31.4,70.8,Harvest,Green Manure,22.7,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.98,681
09/09/2025,25.6,73.8,26.7,83.2,Tillering,Urea,37.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.91,4524
08/02/2025,27.3,25.5,35.6,85.4,Panicle Initiation,Humic Acid,17,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.9,3740
26/06/2025,32.4,68,35.2,84.5,Tillering,Organic Compost,33.8,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,11.36,1690
15/07/2025,30,66.4,31.2,80.2,Flowering,MOP,28.3,Potassium for stem and disease resistance,Ensure soil testing before application.,10.74,3679
07/01/2025,25.8,72.8,31.6,92.9,Tillering,Biochar,27.8,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,11.02,2780
03/09/2025,32.4,36.6,28.8,80.2,Flowering,Copper Sulphate,7,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,9.38,2800
25/02/2025,29.5,31.1,35.9,63.6,Harvest,Phosphate Rock,16.5,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.05,1485
11/03/2025,26.1,73.9,33.6,76.3,Tillering,Urea,33.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,11.13,3972
21/10/2025,24.8,70.1,26.6,89.7,Seedling,Urea,25.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.54,3096
17/07/2025,28.6,66.1,31.8,74.5,Harvest,Green Manure,20.3,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,10.32,609
13/07/2025,25.7,44.9,33.3,92.8,Seedling,Urea,21.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.67,2556
13/10/2025,24.5,65.9,27.8,77.6,Seedling,Ammonium Sulphate,22.3,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.15,3122
22/11/2025,26.7,25.6,29.7,85.9,Seedling,DAP,19.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.03,2940
05/10/2025,29.8,64.6,34.6,64.4,Harvest,Green Manure,19.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.12,582
26/07/2025,22.5,40.3,33,77,Seedling,Magnesium Sulphate,14.8,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.19,2664
08/02/2025,30.4,61.5,30,76.3,Seedling,Ammonium Sulphate,23,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.23,3220
07/05/2025,23.5,56.5,27.9,93.1,Panicle Initiation,DAP,25.6,Phosphorus for root development,Ensure soil testing before application.,9.97,3840
16/08/2025,23.7,52.1,33.7,75.3,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.65,2730
18/07/2025,28.8,41.4,26.9,92.4,Tillering,Biochar,23.4,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.71,2340
25/03/2025,23.3,47.8,33.3,71.6,Seedling,DAP,21.9,Phosphorus for root development,Ensure soil testing before application.,9.4,3285
23/12/2025,26.5,36.3,31,83.2,Panicle Initiation,Seaweed Extract,11,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,9.29,2750
18/07/2025,24,50.9,26.9,60,Panicle Initiation,DAP,22.7,Phosphorus for root development,Ensure soil testing before application.,9.24,3405
25/10/2025,31.5,27.7,31.3,73.9,Panicle Initiation,Seaweed Extract,11.4,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,8.84,2850
